id,company,license_type,commodity,status,date_issued,country,region,lat,lng,matched_location,phone_number,contact_person
"MC- 261","Engineers & Planners Ghana Limited","Support Service (Class A)","Construction of tailings Reclamation of degraded lands Contract Mining Services Construction of Dams","Active License","2026-01-01 00:00:00",Ghana,"",,,,,
"SSML-T2 18/2025","Docklands Company Limited","Small Scale Licence (Tarkwa District)",Gold,"Active License","2025-11-12 00:00:00",Ghana,"Western Region
Nzema East District",5.65665194878254,-2.18160622955789,"Western Region",,
"SSML-T2 19/2025","Docklands Company Limited","Small Scale Licence (Tarkwa District)",Gold,"Active License","2025-11-12 00:00:00",Ghana,"Western Region
Sekondi Takoradi District",5.65234262435306,-2.18929850405154,"Western Region",,
"SSML-T2 21/2025","Docklands Company Limited","Small Scale Licence (Tarkwa District)",Gold,"Active License","2025-11-12 00:00:00",Ghana,"Western Region
Sekondi Takoradi District",5.65613670896333,-2.18804549607152,"Western Region",,
"SSML-T2 20/2025","Docklands Company Limited","Small Scale Licence (Tarkwa District)",Gold,"Active License","2025-11-12 00:00:00",Ghana,"Western Region
Sekondi Takoradi District",5.65809046748734,-2.18394263900718,"Western Region",,
"SSML-T2 17/2025","Docklands Company Limited","Small Scale Licence (Tarkwa District)",Gold,"Active License","2025-11-12 00:00:00",Ghana,"Western Region
Mpohor District",5.65842800994167,-2.18095340039413,"Western Region",,
SSMP-NIM-3/1858,"BRAKATU INVESTMENTS & COMMERCIAL FARMS LIMITED","Small Scale  Licence (Assin Fosu District)",Gold,"Active License","2025-10-03 00:00:00",Ghana,"Central Region",5.55108734982413,-1.33404030957575,"Central Region",,
SSMP-NIM-3/1856,"Eknka Enterprise Limited","Small Scale  Licence (Assin Fosu District)",Gold,"Active License","2025-10-03 00:00:00",Ghana,"Central Region",5.54579235850967,-1.32876181715626,"Central Region",,
SSMP-NIM-3/1859,"Eknka Enterprise Limited","Small Scale  Licence (Assin Fosu District)",Gold,"Active License","2025-10-03 00:00:00",Ghana,"Central Region",5.5486239437508,-1.33283420281452,"Central Region",,
SSMP-NIM-3/1857,"BRAKATU INVESTMENTS & COMMERCIAL FARMS LIMITED","Small Scale  Licence (Assin Fosu District)",Gold,"Active License","2025-10-03 00:00:00",Ghana,"Central Region",5.55240739844831,-1.33649488876663,"Central Region",,
SSMP-NIM-3/1861,"BRAKATU INVESTMENTS & COMMERCIAL FARMS LIMITED","Small Scale  Licence (Assin Fosu District)",Gold,"Active License","2025-10-03 00:00:00",Ghana,"Central Region
Cape Coast District",5.5543727203949,-1.33639261327181,"Central Region",,
SSMP-NIM-3/1860,"Eknka Enterprise Limited","Small Scale  Licence (Assin Fosu District)",Gold,"Active License","2025-10-03 00:00:00",Ghana,"Central Region",5.54843842954648,-1.33339960639253,"Central Region",,
SSMP-NIM-3/1862,"BRAKATU INVESTMENTS & COMMERCIAL FARMS LIMITED","Small Scale  Licence (Assin Fosu District)",Gold,"Active License","2025-10-03 00:00:00",Ghana,"Central Region
Cape Coast District",5.55039269816091,-1.33375651340538,"Central Region",,
SSMP-NIM-3/1855,"Eknka Enterprise Limited","Small Scale  Licence (Assin Fosu District)",Gold,"Active License","2025-10-03 00:00:00",Ghana,"Central Region",5.54693358766999,-1.32876470585583,"Central Region",,
SSMP-NIM-3/1863,"BRAKATU INVESTMENTS & COMMERCIAL FARMS LIMITED","Small Scale  Licence (Assin Fosu District)",Gold,"Active License","2025-10-03 00:00:00",Ghana,"Central Region
Cape Coast District",5.55425120553644,-1.33512617078233,"Central Region",,
RL2/103,"Dpeps Company Limited","Prospecting Licence (Ghanaian)",Gold,"Active License","2025-08-29 00:00:00",Ghana,"Western Region
Sekondi Takoradi District",5.6512302066639,-2.18429163135593,"Western Region",,
"RL2/205 (Mpataba)","Sec Southwest Mining Ltd","Prospecting Licence (Foreign)",Gold,"Active License","2025-08-14 00:00:00",Ghana,"Western Region
Jomoro District",5.65782943588382,-2.18779977769075,"Western Region",,
"SSML-AK5 2/2025","Shepherd Mining","Small Scale Licence (Akim Oda District)",Gold,"Active License","2025-07-28 00:00:00",Ghana,"",,,,,
"MC 5548/2025","Abuya and Sons Company Limited","Support Service (Class A)","Civil works /engineering services Rentals","Active License","2025-07-14 00:00:00",Ghana,"Greater Accra Region",5.80487825315905,0.037183970648466,"Greater Accra Region",,
"MC 5551/2025","Grinding Media Ghana Limited","Support Service (Class A)","Supply Mining equipment Mine Consumables (grinding media, activated carbon, caustic soda) Manufacture and supply steel products including grinding media Mining Support Services","Active License","2025-06-24 00:00:00",Ghana,"",,,,,
"MC 5558/2025","SDG DREAM LIMITED COMPANY","Support Service (Class A)","Drilling and exploration service Civil works /engineering services Civil construction","Active License","2025-06-20 00:00:00",Ghana,"Western Region",5.6525176217805,-2.18464586034627,"Western Region",,
"MC 5544/2025","ACT ICT GHANA LIMITED","Support Service (Class A)","Technical Services","Active License","2025-06-03 00:00:00",Ghana,"Greater Accra Region",5.80124560622417,0.0386731403749657,"Greater Accra Region",,
"MC 5550/2025","Global Consolidated Mining Ltd","Support Service (Class A)","Equipment Supply Civil works /engineering services Supply mining consumables and provide mining optimization services","Active License","2025-05-21 00:00:00",Ghana,"",,,,,
"GER 1/2025","Metals and Minerals Processing Ltd","Gold Export (Refinery)","Gold Refinery Services","Active License","2025-01-23 00:00:00",Ghana,"Greater Accra Region",5.80808959198627,0.0400207346659279,"Greater Accra Region",,
"ML5/199 (Akyem West)","Newmont Golden Ridge Limited","Mining Lease",Gold,"Active License","2025-01-19 00:00:00",Ghana,"Eastern Region
Koforidua District",6.42584088541444,-0.365968869326568,"Eastern Region",,
"SSML-T2 8/2025","ISAAC BROTHERS LIMITED COMPANY","Small Scale Licence (Tarkwa District)",Gold,"Active License","2025-01-06 00:00:00",Ghana,"Western Region",5.65414086463963,-2.18163320404094,"Western Region",,
"SSML-T2 3/2025","JOEKAY MINING AND TRADING LIMITED","Small Scale Licence (Tarkwa District)",Gold,"Active License","2025-01-06 00:00:00",Ghana,"Western Region
Sekondi Takoradi District",5.65364092445397,-2.18185218927615,"Western Region",,
